id;question;answer;unit;category;answer_type
1;Ile gramów waży typowy bochenek chleba kupowany w sklepie?;500.0;g;dom/jedzenie;typowo
2;Ile gramów ma standardowa kostka masła?;200.0;g;dom/jedzenie;typowo
3;Ile mililitrów ma standardowy karton mleka?;1000.0;ml;dom/jedzenie;typowo
4;Ile mililitrów ma typowa puszka napoju?;330.0;ml;dom/jedzenie;typowo
5;Ile litrów ma popularna duża butelka wody?;1.5;l;dom/jedzenie;typowo
6;Ile mililitrów ma typowe espresso (porcja)?;30.0;ml;dom/jedzenie;typowo
7;Ile mililitrów ma typowa porcja latte/cappuccino w kawiarni (około)?;250.0;ml;dom/jedzenie;około
8;Ile mililitrów ma łyżeczka (teaspoon) w kuchni?;5.0;ml;dom/kuchnia;umownie
9;Ile mililitrów ma łyżka stołowa (tablespoon) w kuchni?;15.0;ml;dom/kuchnia;umownie
10;Ile mililitrów ma 'szklanka' w przepisach (metryczna)?;250.0;ml;dom/kuchnia;umownie
11;Ile gramów waży typowa kostka cukru?;4.0;g;dom/jedzenie;typowo
12;Ile gramów ma typowa tabliczka czekolady?;100.0;g;dom/jedzenie;typowo
13;Ile gramów waży przeciętny banan (bez skórki, około)?;120.0;g;dom/jedzenie;około
14;Ile gramów waży przeciętne jabłko (około)?;180.0;g;dom/jedzenie;około
15;Ile gramów waży typowe jajko (rozmiar M, około)?;60.0;g;dom/jedzenie;około
16;Ile minut gotuje się jajko na twardo (typowo)?;10.0;min;dom/kuchnia;typowo
17;Ile minut gotuje się jajko na miękko (typowo)?;6.0;min;dom/kuchnia;typowo
18;Ile gramów waży kromka chleba (typowo)?;35.0;g;dom/jedzenie;typowo
19;Ile gramów waży plaster sera żółtego (typowo)?;20.0;g;dom/jedzenie;typowo
20;Ile centymetrów ma typowa pizza 'duża' (średnica)?;30.0;cm;dom/jedzenie;typowo
21;Na ile kawałków kroi się typową pizzę w pizzerii?;8.0;szt.;dom/jedzenie;typowo
22;Ile gramów ma typowy kotlet/hamburger (porcja mięsa, około)?;150.0;g;dom/jedzenie;około
23;Ile mililitrów ma standardowa butelka wina?;750.0;ml;dom/jedzenie;fakt/standard
24;Ile mililitrów ma typowa butelka piwa w Europie?;500.0;ml;dom/jedzenie;typowo
25;Ile mililitrów mieści przeciętny kubek do herbaty w domu (około)?;350.0;ml;dom/kuchnia;około
26;Ile centymetrów ma typowy talerz obiadowy (średnica, około)?;27.0;cm;dom/kuchnia;około
27;Jaki jest dłuższy bok kartki A4?;29.7;cm;dom/standardy;fakt
28;Jaki jest krótszy bok kartki A4?;21.0;cm;dom/standardy;fakt
